City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,san juan de miraflores,-12.1629,-76.9635,24.54,68,71,4.5,PE,1685048865
1,ust-nera,64.5667,143.2,3.43,64,28,2.17,RU,1685048866
2,papatowai,-46.5619,169.4708,13.59,64,99,5.15,NZ,1685048866
3,west island,-12.1568,96.8225,26.99,78,40,4.63,CC,1685048867
4,ushuaia,-54.8,-68.3,1.81,80,40,4.12,AR,1685048867
5,puerto natales,-51.7236,-72.4875,4.25,75,75,2.57,CL,1685048660
6,iqaluit,63.7506,-68.5145,1.5,80,99,2.24,CA,1685048869
7,port-aux-francais,-49.35,70.2167,5.29,99,99,8.42,TF,1685048869
8,laredo,27.5064,-99.5075,34.14,45,100,7.2,US,1685048870
9,waitangi,-43.9535,-176.5597,13.79,87,5,0.45,NZ,1685048870
10,bethel,41.3712,-73.414,20.41,47,0,3.6,US,1685048870
11,bimbo,4.2567,18.4158,22.97,98,99,2.02,CF,1685048871
12,edinburgh of the seven seas,-37.0676,-12.3116,16.42,84,65,12.87,SH,1685048871
13,nuuk,64.1835,-51.7216,2.34,75,75,4.63,GL,1685048872
14,enewetak,11.3474,162.3373,28.03,76,96,6.78,MH,1685048872
15,thinadhoo,0.5333,72.9333,27.84,77,82,3.45,MV,1685048873
16,blackmans bay,-43.0167,147.3167,6.07,81,52,4.65,AU,1685048873
17,adamstown,-25.066,-130.1015,23.38,69,57,2.72,PN,1685048874
18,longyearbyen,78.2186,15.6401,0.91,80,100,8.23,SJ,1685048874
19,arenapolis,-14.4503,-56.8461,29.06,52,99,0.85,BR,1685048874
20,thompson,55.7435,-97.8558,12.09,100,100,0.0,CA,1685048875
21,listowel,52.4464,-9.485,16.84,93,27,1.58,IE,1685048875
22,kidal,18.4411,1.4078,35.17,15,8,7.01,ML,1685048876
23,bilibino,68.0546,166.4372,6.24,59,100,1.1,RU,1685048876
24,general acha,-37.377,-64.6043,17.0,75,100,1.0,AR,1685048877
25,quellon,-43.1167,-73.6167,7.14,76,75,4.12,CL,1685048877
26,brookings,44.3114,-96.7984,28.0,36,20,7.2,US,1685048878
27,khandyga,62.6667,135.6,6.23,78,92,0.05,RU,1685048878
